last_obs,v_inf,ip,h,range,n_imp,last_obs_jd,fullname,ps_max,ts_max,diameter,ps_cum,id,des
2001-04-30,11.5005201901293,1.12555e-07,23.65,2119-2122,2,2452029.5,(2001 HJ31),-6.62,0,0.063,-6.60,bK01H31J,2001 HJ31
2021-12-09,19.0989695085143,0.0001008348341,29.35,2040-2105,43,2459557.5,(2021 XU5),-6.03,0,0.0046,-5.68,bK21X05U,2021 XU5
2020-11-15,11.1431723939548,4.5193e-07,27.21,2078-2090,2,2459168.5,(2020 VA5),-7.47,0,0.012,-7.46,bK20V05A,2020 VA5
2021-06-17,12.5792472477899,1.852057e-06,28.36,2077-2115,10,2459382.5,(2021 LK6),-7.88,0,0.0072,-7.46,bK21L06K,2021 LK6
2021-06-18,10.1710772341984,3.0927815e-06,26.38,2050-2107,11,2459383.5,(2021 LL15),-6.44,0,0.018,-6.21,bK21L15L,2021 LL15
2009-05-13,12.8319685370736,8.157601e-06,25.98,2057-2116,19,2454964.5,(2009 JL2),-5.93,0,0.022,-5.52,bK09J02L,2009 JL2
2019-05-10,17.81,2.2062e-07,27.98,2053-2053,2,2458613.5,(2019 JK),-7.77,0,0.0086,-7.65,bK19J00K,2019 JK
2018-11-17,12.745120977926,1.38579e-06,28.33,2057-2113,8,2458439.5,(2018 WE),-7.57,0,0.0073,-7.35,bK18W00E,2018 WE
2019-12-30,20.1441900367055,1.51476e-08,27.26,2044-2061,3,2458847.5,(2019 YV4),-8.51,0,0.012,-8.47,bK19Y04V,2019 YV4
2019-09-22,16.72,8.224e-07,27.67,2064-2064,1,2458748.5,(2019 SG1),-7.12,0,0.0099,-7.12,bK19S01G,2019 SG1
2016-03-01,17.5721506672139,1.993214e-06,29.01,2069-2118,3,2457448.5,(2016 DK2),-7.39,0,0.0053,-7.39,bK16D02K,2016 DK2
2020-02-03,15.2499640682703,4.0076e-06,27.01,2051-2112,5,2458882.5,(2020 CQ),-6.41,0,0.013,-6.22,bK20C00Q,2020 CQ
2019-09-14,14.7608945990959,1.00872e-07,25.44,2104-2105,2,2458740.5,(2019 RQ2),-7.35,0,0.028,-7.32,bK19R02Q,2019 RQ2
2020-08-16,9.54219192370907,3.9776576e-06,26.83,2109-2122,29,2459077.5,(2020 PU3),-6.89,0,0.0147,-6.62,bK20P03U,2020 PU3
